title,rating
Summary of Capital in the Twenty-First Century: by Thomas Piketty | Includes Analysis,3.44
The Agony and the Ecstasy,4.07
The Heartbreakers,3.69
Tails,4.17
How to Be an American Housewife,3.63
The Dancing Girl of Izu and Other Stories,3.77
Apocalypse Cow,3.65
The Science of Discworld,3.93
"Ouran High School Host Club, Vol. 1",4.36
Midnight Hour Collection,3.5
Hungry for You,4.26
Pebble in the Sky,3.89
Judgment Road,4.2
Dead Man's Walk,3.95
Concerning the Spiritual in Art,3.82
What We Found in the Sofa and How It Saved the World,3.84
Polar Bears Past Bedtime,3.89
Selected Poems,4.17
A Personal Matter,3.89
The Fiery Trial,4.21
Ayala,4.0
The Dermis Probe,4.52
Classics on Infinite Earths: The Justice League and DC Crossover Canon,4.19
Fire Star,3.93
We Hear the Dead,3.62
The Horse Whisperer,3.81
Moonglow,3.99
Endless Night,3.94
How To Win Friends And Influence People,3.25
The Peach Keeper,3.85
Extraordinary Means,3.95
Queen of Camelot,4.07
On the Way to the Wedding,3.84
The Girl Who Came Home,3.87
The Queen's Rising,4.02
Ever Increasing Faith,4.52
The Fallen Star,3.91
Come as You Are: The Surprising New Science that Will Transform Your Sex Life,4.29
Crazy Summer,4.06
Deliverer,4.24
The Beast That Shouted Love at the Heart of the World,4.12
Hunter Reborn,4.18
The Amphibian,4.13
Ghost Town,4.26
The Love of Stones,3.52
The Truth of the Matter,4.32
"NORA: The Last Chronicle of Devildom, Vol. 8",4.27
John Donne's Poetry,4.11
And Then I Met Him,3.63
The Illumination,3.39
The Sand Child,3.49
The Rise of Renegade X,3.89
Rebel of the Sands,3.94
House On The Hill,4.88
Superman: Phantom Zone,3.47
Don Nehlen's Tales from the West Virginia Sideline,3.8
Nanny Ogg's Cookbook,4.01
Just Visiting,3.76
Gabriel's Inferno,4.0
Talented,4.02
Into Temptation,4.3
My Heart and Other Black Holes,3.99
Sword-Maker,4.01
Rivals,4.15
Friends for Life,4.16
"Red River, Vol. 1",4.23
The Great Shark Escape,4.42
America's Game: The Epic Story of How Pro Football Captured a Nation,4.28
The Gathering Darkness,3.79
A Short History of Nearly Everything,4.2
Fractured,3.78
On Becoming a Novelist,4.1
Sunrise,4.37
Mieradome,3.21
Sword of Rome,4.33
We Wish to Inform You That Tomorrow We Will Be Killed with Our Families,4.23
City of Ghosts,3.92
The Forbidden,4.09
Love at First Bite,4.06
"The Songs of Black Folks: The Joy, The Pain and The Determination of Black People",5.0
The Legend of Zelda: The Minish Cap,4.27
Songs of Earth and Power,4.04
Dark Stranger: The Dream,3.65
Dr. Thorne,4.11
Inca Gold,3.99
"Ultra Cute, Vol. 1",3.73
The 6th Target,4.04
No Place to Run,4.28
Death: The High Cost of Living,4.19
La Dame aux Camélias,4.0
Childhood and Society,4.06
Ali and Nino,3.93
The Road,3.97
Life Skills,3.62
Ember,3.7
Process Theology,3.82
On the Jellicoe Road,4.13
Unrequited,4.37
Lord of the Night,4.07
Empires of the Monsoon: A History of the Indian Ocean and Its Invaders,4.37
The Edge of Always,4.01
The Sense of Touch,4.22
A Hand Full of Stars,4.03
The Goddess Legacy,4.04
Not Exactly a Love Story,3.37
Why Are We in Vietnam?,3.32
Les Liaisons dangereuses,4.07
Illusion,4.37
Forever,3.91
The Cookbook of Everlasting Love: Sex on a Plate: Food as Foreplay,5.0
The Pacific,4.13
When It Rains,4.24
Happily Ever Ninja,4.15
The Girls,3.79
Mrs. Wiggs of the Cabbage Patch,3.82
The Dirt: Confessions of the World's Most Notorious Rock Band,4.15
Turtle Moon,3.83
Dark Debt,4.25
Sharpe's Triumph,4.12
"""Repent, Harlequin!"" Said the Ticktockman",4.19
Rachel and Her Children: Homeless Families in America,4.21
Byomkesh Bakshi Stories,4.28
The Key to the Golden Firebird,3.67
The Fourth Way,4.22
"Poison, Perennials, and a Poltergeist",3.51
The Bell Curve: Intelligence and Class Structure in American Life,3.55
Free Comic Book Day: Star Wars,3.96
A Perfect Storm,4.22
Elementals: Mystic Warriors,4.19
Once an Arafat Man: The True Story of How a PLO Sniper Found a New Life,4.19
What the Wind Knows,4.31
Destiny of the Wolf,4.06
Seasons of Her Life,4.08
The Safest Place,3.6
Witch's Bell 6,4.35
"The House of Rothschild, Vol 1: Money's Prophets, 1798-1848",3.85
"Hugh Johnson's Wine Companion: The Encyclopedia of Wines, Vineyards and Winemakers",4.04
It Happens for a Reason,3.71
