title,rating,tokens
Summary of Capital in the Twenty-First Century: by Thomas Piketty | Includes Analysis,3.44,Summary of Capital in the Twenty-First Century: by Thomas Piketty | Includes Analysis
The Agony and the Ecstasy,4.07,The Agony and the Ecstasy
The Heartbreakers,3.69,The Heartbreakers
Tails,4.17,Tails
How to Be an American Housewife,3.63,How to Be an American Housewife
The Dancing Girl of Izu and Other Stories,3.77,The Dancing Girl of Izu and Other Stories
Apocalypse Cow,3.65,Apocalypse Cow
The Science of Discworld,3.93,The Science of Discworld
"Ouran High School Host Club, Vol. 1",4.36,"Ouran High School Host Club, Vol. 1"
Midnight Hour Collection,3.5,Midnight Hour Collection
Hungry for You,4.26,Hungry for You
Pebble in the Sky,3.89,Pebble in the Sky
Judgment Road,4.2,Judgment Road
Dead Man's Walk,3.95,Dead Man's Walk
Concerning the Spiritual in Art,3.82,Concerning the Spiritual in Art
What We Found in the Sofa and How It Saved the World,3.84,What We Found in the Sofa and How It Saved the World
Polar Bears Past Bedtime,3.89,Polar Bears Past Bedtime
Selected Poems,4.17,Selected Poems
A Personal Matter,3.89,A Personal Matter
The Fiery Trial,4.21,The Fiery Trial
Ayala,4.0,Ayala
The Dermis Probe,4.52,The Dermis Probe
Classics on Infinite Earths: The Justice League and DC Crossover Canon,4.19,Classics on Infinite Earths: The Justice League and DC Crossover Canon
Fire Star,3.93,Fire Star
We Hear the Dead,3.62,We Hear the Dead
The Horse Whisperer,3.81,The Horse Whisperer
Moonglow,3.99,Moonglow
Endless Night,3.94,Endless Night
How To Win Friends And Influence People,3.25,How To Win Friends And Influence People
The Peach Keeper,3.85,The Peach Keeper
Extraordinary Means,3.95,Extraordinary Means
Queen of Camelot,4.07,Queen of Camelot
On the Way to the Wedding,3.84,On the Way to the Wedding
The Girl Who Came Home,3.87,The Girl Who Came Home
The Queen's Rising,4.02,The Queen's Rising
Ever Increasing Faith,4.52,Ever Increasing Faith
The Fallen Star,3.91,The Fallen Star
Come as You Are: The Surprising New Science that Will Transform Your Sex Life,4.29,Come as You Are: The Surprising New Science that Will Transform Your Sex Life
Crazy Summer,4.06,Crazy Summer
Deliverer,4.24,Deliverer
The Beast That Shouted Love at the Heart of the World,4.12,The Beast That Shouted Love at the Heart of the World
Hunter Reborn,4.18,Hunter Reborn
The Amphibian,4.13,The Amphibian
Ghost Town,4.26,Ghost Town
The Love of Stones,3.52,The Love of Stones
The Truth of the Matter,4.32,The Truth of the Matter
"NORA: The Last Chronicle of Devildom, Vol. 8",4.27,"NORA: The Last Chronicle of Devildom, Vol. 8"
John Donne's Poetry,4.11,John Donne's Poetry
And Then I Met Him,3.63,And Then I Met Him
The Illumination,3.39,The Illumination
The Sand Child,3.49,The Sand Child
The Rise of Renegade X,3.89,The Rise of Renegade X
Rebel of the Sands,3.94,Rebel of the Sands
House On The Hill,4.88,House On The Hill
Superman: Phantom Zone,3.47,Superman: Phantom Zone
Don Nehlen's Tales from the West Virginia Sideline,3.8,Don Nehlen's Tales from the West Virginia Sideline
Nanny Ogg's Cookbook,4.01,Nanny Ogg's Cookbook
Just Visiting,3.76,Just Visiting
Gabriel's Inferno,4.0,Gabriel's Inferno
Talented,4.02,Talented
Into Temptation,4.3,Into Temptation
My Heart and Other Black Holes,3.99,My Heart and Other Black Holes
Sword-Maker,4.01,Sword-Maker
Rivals,4.15,Rivals
Friends for Life,4.16,Friends for Life
"Red River, Vol. 1",4.23,"Red River, Vol. 1"
The Great Shark Escape,4.42,The Great Shark Escape
America's Game: The Epic Story of How Pro Football Captured a Nation,4.28,America's Game: The Epic Story of How Pro Football Captured a Nation
The Gathering Darkness,3.79,The Gathering Darkness
A Short History of Nearly Everything,4.2,A Short History of Nearly Everything
Fractured,3.78,Fractured
On Becoming a Novelist,4.1,On Becoming a Novelist
Sunrise,4.37,Sunrise
Mieradome,3.21,Mieradome
Sword of Rome,4.33,Sword of Rome
We Wish to Inform You That Tomorrow We Will Be Killed with Our Families,4.23,We Wish to Inform You That Tomorrow We Will Be Killed with Our Families
City of Ghosts,3.92,City of Ghosts
The Forbidden,4.09,The Forbidden
Love at First Bite,4.06,Love at First Bite
"The Songs of Black Folks: The Joy, The Pain and The Determination of Black People",5.0,"The Songs of Black Folks: The Joy, The Pain and The Determination of Black People"
The Legend of Zelda: The Minish Cap,4.27,The Legend of Zelda: The Minish Cap
Songs of Earth and Power,4.04,Songs of Earth and Power
Dark Stranger: The Dream,3.65,Dark Stranger: The Dream
Dr. Thorne,4.11,Dr. Thorne
Inca Gold,3.99,Inca Gold
"Ultra Cute, Vol. 1",3.73,"Ultra Cute, Vol. 1"
The 6th Target,4.04,The 6th Target
No Place to Run,4.28,No Place to Run
